SDNN,RMSSD,MEAN HR,Label
7.03562364,11.94780315,89.09183673,1
6.850042111,10.53960784,84.19795222,1
2.973311237,4.601512039,85.64383562,1
4.971714867,5.574667979,87.30584192,1
25.4099718,25.41653005,85.40344828,1
16.1245155,20.23081101,83.34948097,1
4.529532721,5.118593557,92.07291667,1
3.886568294,5.609058607,83.53658537,1
17.77638883,24.69817807,92.02797203,1
7.494240213,10.33924562,92.52631579,1
5.652643714,9.407443861,87.70774648,1
4.546060566,7.823955887,87.56183746,1
5.17557352,7.21740321,87.46099291,1
3.636076544,3.783621212,89.46975089,1
3.346640106,3.881580434,70.25249169,0
4.289981455,6.358346596,97.32666667,0
4.791107403,6.836602258,104.5384615,0
4.43045679,6.89393326,86.7885906,0
5.963338286,7.571877794,88.34343434,0
10.1101081,13.83577144,87.45945946,0
7.72607971,10.26944684,93.34237288,0
9.297550454,11.93209956,83.10544218,0
9.373722135,10.21763182,84.42320819,0
5.009347987,8.309967242,83.24315068,0
5.128391098,7.813159063,94.45017182,0
6.77964869,9.934787366,85.99655172,0
15.20855023,20.18662924,89.78546713,0
11.67261753,17.15007289,78.99652778,0
17.50047618,28.49912279,86.22996516,0
15.69500982,14.28285686,87.72727273,0
9.055385138,13.71651768,80.52631579,0
19.09188309,27,85.20774648,0
5.018646549,6.883648407,88.54770318,0
6.910137481,9.663074045,12.12539286,0
2.828427125,4,12.18477863,0
2886.751346,3535.533906,12.55564286,0
23.49468025,25.58645475,12.23005556,0
6.398784607,10.93922605,12.78830952,0
7.41101052,9.255628918,12.74062338,0
8.734987121,13.87443693,12.34952795,0
9.579491984,15.38180744,12.41085207,0
4.275251779,7.407766195,12.32230052,0
4.837354649,7.995832248,12.63846358,0
5.526794238,7.994316163,12.41901538,0
10.44030651,13.50925609,12.09140541,0
6.33442973,9.44154951,12.24544,0
4.464676173,6.623191577,12.32879167,0
0.957427108,1.732050808,12.13905645,0
4.564162458,7.308970696,12.15025287,0
7.820201759,11.76624173,12.15318222,0
18.14754345,24.41311123,12.13445581,0
5.75990196,8.457506238,12.25317269,0
8.956242835,15.19398377,12.280232,0
4.7656176,6.463573143,12.20353947,0
5.683308895,9.497368056,12.14159551,0
